variant,fold,band,rows,precision
champion 0.70/0.20/0.10,1,0.0-1.44,1574,0.3691
champion 0.70/0.20/0.10,1,1.44-1.6,175,0.2114
champion 0.70/0.20/0.10,1,1.6-1.8,218,0.2064
champion 0.70/0.20/0.10,1,1.8-2.0,219,0.1507
champion 0.70/0.20/0.10,1,2.0-2.2,219,0.1279
champion 0.70/0.20/0.10,2,0.0-1.44,1624,0.3485
champion 0.70/0.20/0.10,2,1.44-1.6,181,0.2541
champion 0.70/0.20/0.10,2,1.6-1.8,225,0.2844
champion 0.70/0.20/0.10,2,1.8-2.0,226,0.2035
champion 0.70/0.20/0.10,2,2.0-2.2,226,0.1903
champion 0.70/0.20/0.10,3,0.0-1.44,1539,0.3431
champion 0.70/0.20/0.10,3,1.44-1.6,171,0.2105
champion 0.70/0.20/0.10,3,1.6-1.8,214,0.243
champion 0.70/0.20/0.10,3,1.8-2.0,214,0.2383
champion 0.70/0.20/0.10,3,2.0-2.2,214,0.2336
champion 0.70/0.20/0.10,4,0.0-1.44,1362,0.3377
champion 0.70/0.20/0.10,4,1.44-1.6,152,0.25
champion 0.70/0.20/0.10,4,1.6-1.8,189,0.2222
champion 0.70/0.20/0.10,4,1.8-2.0,189,0.1958
champion 0.70/0.20/0.10,4,2.0-2.2,189,0.2011
equal 4 components,1,0.0-1.44,1574,0.3666
equal 4 components,1,1.44-1.6,175,0.2229
equal 4 components,1,1.6-1.8,218,0.2202
equal 4 components,1,1.8-2.0,219,0.1416
equal 4 components,1,2.0-2.2,219,0.1461
equal 4 components,2,0.0-1.44,1624,0.3534
equal 4 components,2,1.44-1.6,181,0.2265
equal 4 components,2,1.6-1.8,225,0.2889
equal 4 components,2,1.8-2.0,226,0.2301
equal 4 components,2,2.0-2.2,226,0.1903
equal 4 components,3,0.0-1.44,1539,0.3483
equal 4 components,3,1.44-1.6,171,0.2515
equal 4 components,3,1.6-1.8,214,0.2103
equal 4 components,3,1.8-2.0,214,0.243
equal 4 components,3,2.0-2.2,214,0.2009
equal 4 components,4,0.0-1.44,1362,0.3377
equal 4 components,4,1.44-1.6,152,0.2632
equal 4 components,4,1.6-1.8,189,0.291
equal 4 components,4,1.8-2.0,189,0.1746
equal 4 components,4,2.0-2.2,189,0.127
equal 5 components,1,0.0-1.44,1574,0.3672
equal 5 components,1,1.44-1.6,175,0.2
equal 5 components,1,1.6-1.8,218,0.2294
equal 5 components,1,1.8-2.0,219,0.1507
equal 5 components,1,2.0-2.2,219,0.1598
equal 5 components,2,0.0-1.44,1624,0.3528
equal 5 components,2,1.44-1.6,181,0.1934
equal 5 components,2,1.6-1.8,225,0.3111
equal 5 components,2,1.8-2.0,226,0.2168
equal 5 components,2,2.0-2.2,226,0.2301
equal 5 components,3,0.0-1.44,1539,0.3496
equal 5 components,3,1.44-1.6,171,0.2456
equal 5 components,3,1.6-1.8,214,0.2103
equal 5 components,3,1.8-2.0,214,0.257
equal 5 components,3,2.0-2.2,214,0.1822
equal 5 components,4,0.0-1.44,1362,0.3392
equal 5 components,4,1.44-1.6,152,0.2368
equal 5 components,4,1.6-1.8,189,0.3122
equal 5 components,4,1.8-2.0,189,0.1746
equal 5 components,4,2.0-2.2,189,0.1217
rank-average 4 components,1,0.0-1.44,1574,0.3685
rank-average 4 components,1,1.44-1.6,175,0.2057
rank-average 4 components,1,1.6-1.8,218,0.2156
rank-average 4 components,1,1.8-2.0,219,0.1233
rank-average 4 components,1,2.0-2.2,219,0.1826
rank-average 4 components,2,0.0-1.44,1624,0.3522
rank-average 4 components,2,1.44-1.6,181,0.2486
rank-average 4 components,2,1.6-1.8,225,0.2578
rank-average 4 components,2,1.8-2.0,226,0.2124
rank-average 4 components,2,2.0-2.2,226,0.2389
rank-average 4 components,3,0.0-1.44,1539,0.3476
rank-average 4 components,3,1.44-1.6,171,0.2398
rank-average 4 components,3,1.6-1.8,214,0.2383
rank-average 4 components,3,1.8-2.0,214,0.2383
rank-average 4 components,3,2.0-2.2,214,0.2009
rank-average 4 components,4,0.0-1.44,1362,0.3392
rank-average 4 components,4,1.44-1.6,152,0.25
rank-average 4 components,4,1.6-1.8,189,0.2593
rank-average 4 components,4,1.8-2.0,189,0.2011
rank-average 4 components,4,2.0-2.2,189,0.1217
rank-average champion,1,0.0-1.44,1574,0.3679
rank-average champion,1,1.44-1.6,175,0.24
rank-average champion,1,1.6-1.8,218,0.1881
rank-average champion,1,1.8-2.0,219,0.1461
rank-average champion,1,2.0-2.2,219,0.1324
rank-average champion,2,0.0-1.44,1624,0.3498
rank-average champion,2,1.44-1.6,181,0.2597
rank-average champion,2,1.6-1.8,225,0.2667
rank-average champion,2,1.8-2.0,226,0.1903
rank-average champion,2,2.0-2.2,226,0.2168
rank-average champion,3,0.0-1.44,1539,0.3437
rank-average champion,3,1.44-1.6,171,0.2515
rank-average champion,3,1.6-1.8,214,0.229
rank-average champion,3,1.8-2.0,214,0.229
rank-average champion,3,2.0-2.2,214,0.2103
rank-average champion,4,0.0-1.44,1362,0.3392
rank-average champion,4,1.44-1.6,152,0.2303
rank-average champion,4,1.6-1.8,189,0.2222
rank-average champion,4,1.8-2.0,189,0.2169
rank-average champion,4,2.0-2.2,189,0.1852
