variant,fold,prevalence,roc_auc,pr_auc,m1.0,m1.1,m1.2,m1.3,m1.4,m1.5,m1.6,m1.7,m1.8,m1.9,m2.0,m2.1,m2.2,m2.3,m2.4,m2.5,m2.6
champion 0.70/0.20/0.10,1,0.1468,0.7923,0.4576,0.4218,0.427,0.4299,0.4336,0.4339,0.4347,0.4349,0.4338,0.4333,0.429,0.4245,0.4179,0.414,0.4081,0.4064,0.4009,0.3995
champion 0.70/0.20/0.10,2,0.1515,0.7855,0.4149,0.3856,0.3926,0.4013,0.4079,0.4123,0.4128,0.4173,0.4268,0.4281,0.428,0.4267,0.4238,0.4238,0.4229,0.4188,0.4159,0.4122
champion 0.70/0.20/0.10,3,0.1436,0.7917,0.3775,0.3761,0.3902,0.398,0.3993,0.403,0.407,0.4059,0.413,0.4116,0.42,0.416,0.4182,0.4192,0.4172,0.4132,0.4095,0.4075
champion 0.70/0.20/0.10,4,0.127,0.802,0.3954,0.3732,0.3724,0.3787,0.3833,0.3974,0.3975,0.4049,0.4072,0.4077,0.4076,0.4066,0.4085,0.4063,0.4004,0.3974,0.392,0.3911
equal 4 components,1,0.1468,0.7929,0.4554,0.4181,0.4209,0.4266,0.4375,0.4331,0.4325,0.4335,0.4344,0.434,0.4309,0.4239,0.4227,0.4157,0.4103,0.4096,0.4046,0.402
equal 4 components,2,0.1515,0.7888,0.4213,0.3963,0.4044,0.4077,0.414,0.4167,0.4142,0.4194,0.4261,0.4307,0.4311,0.4326,0.4329,0.4294,0.4293,0.424,0.4195,0.4147
equal 4 components,3,0.1436,0.7949,0.3835,0.3751,0.3964,0.4048,0.4075,0.4092,0.4138,0.4167,0.4179,0.417,0.4232,0.4216,0.4206,0.4203,0.4178,0.4182,0.4143,0.4142
equal 4 components,4,0.127,0.8042,0.3979,0.3732,0.3785,0.3854,0.3897,0.3965,0.4034,0.4065,0.4143,0.419,0.4156,0.4144,0.4132,0.4044,0.401,0.3968,0.3944,0.3934
equal 5 components,1,0.1468,0.7926,0.4537,0.4218,0.4183,0.4208,0.4328,0.4346,0.4362,0.4314,0.4331,0.4333,0.4271,0.4245,0.4215,0.418,0.4114,0.4053,0.4046,0.402
equal 5 components,2,0.1515,0.7882,0.4205,0.3883,0.4035,0.4118,0.4163,0.416,0.4149,0.4146,0.4255,0.4294,0.4317,0.4297,0.4318,0.4316,0.4277,0.4224,0.42,0.4162
equal 5 components,3,0.1436,0.7948,0.3817,0.3751,0.3947,0.4056,0.4083,0.4092,0.4138,0.4174,0.4193,0.4176,0.4174,0.4241,0.4218,0.4203,0.4172,0.4171,0.4154,0.4106
equal 5 components,4,0.127,0.8044,0.3981,0.3732,0.3815,0.3854,0.3943,0.4,0.4,0.4049,0.4127,0.4205,0.4185,0.4158,0.4125,0.405,0.4017,0.398,0.3957,0.394
rank-average 4 components,1,0.1468,0.7934,0.4547,0.4181,0.4192,0.4249,0.4352,0.4346,0.4354,0.4335,0.4351,0.4333,0.4252,0.4209,0.4197,0.4174,0.4131,0.409,0.4062,0.4036
rank-average 4 components,2,0.1515,0.7884,0.4199,0.3918,0.4002,0.4085,0.4156,0.4152,0.4156,0.4207,0.4242,0.4275,0.4268,0.4273,0.4301,0.4305,0.4267,0.4245,0.42,0.4157
rank-average 4 components,3,0.1436,0.7951,0.3825,0.3723,0.3947,0.4031,0.4075,0.4076,0.4153,0.4145,0.42,0.419,0.4213,0.4228,0.4225,0.4215,0.4212,0.4182,0.4149,0.4111
rank-average 4 components,4,0.127,0.8048,0.3986,0.3742,0.3795,0.3892,0.3952,0.3974,0.4051,0.4065,0.4158,0.4145,0.4156,0.4137,0.4132,0.403,0.401,0.3986,0.3993,0.3952
rank-average champion,1,0.1468,0.7932,0.4562,0.4227,0.4288,0.4299,0.432,0.4361,0.434,0.437,0.4331,0.4327,0.4303,0.4233,0.4168,0.4134,0.4109,0.4069,0.4025,0.4005
rank-average champion,2,0.1515,0.7854,0.4132,0.3856,0.39,0.4005,0.4048,0.4093,0.4142,0.4194,0.4281,0.4275,0.4274,0.4243,0.4244,0.4249,0.4229,0.4183,0.4149,0.4088
rank-average champion,3,0.1436,0.7922,0.378,0.3751,0.3902,0.3997,0.3985,0.4061,0.4123,0.4117,0.4116,0.415,0.4155,0.4178,0.4182,0.418,0.4138,0.4121,0.4117,0.4085
rank-average champion,4,0.127,0.8029,0.396,0.37,0.3734,0.3835,0.3888,0.4,0.4042,0.4041,0.408,0.4069,0.4069,0.4087,0.4098,0.4063,0.4023,0.3968,0.3932,0.3922
