fold,seeds,prevalence,roc_auc,pr_auc,m1.4,m1.5,m1.6,m1.7,m1.8,m1.9,m2.0,m2.1,m2.2
1,1,0.1468,0.79556,0.45936,0.44148,0.43908,0.43913,0.43714,0.43268,0.42965,0.42452,0.42267,0.42081
1,3,0.1468,0.79638,0.46044,0.44529,0.43908,0.43842,0.43578,0.43464,0.43218,0.42635,0.42739,0.42196
1,6,0.1468,0.7964,0.46041,0.44529,0.43761,0.43702,0.43578,0.43529,0.43218,0.42757,0.42621,0.42424
1,12,0.1468,0.7966,0.46036,0.44529,0.43835,0.43772,0.43578,0.43399,0.43281,0.42757,0.42621,0.42196
2,1,0.1515,0.78414,0.41579,0.41005,0.41631,0.41527,0.41628,0.42179,0.42434,0.42553,0.42494,0.42161
2,3,0.1515,0.78462,0.41816,0.413,0.41418,0.41732,0.41694,0.42495,0.42739,0.42494,0.42265,0.42105
2,6,0.1515,0.78436,0.41775,0.41226,0.41489,0.418,0.41825,0.42432,0.42862,0.42199,0.42036,0.4205
2,12,0.1515,0.78415,0.41759,0.41005,0.4156,0.41459,0.4176,0.42432,0.42617,0.42258,0.42036,0.41939
3,1,0.1436,0.79144,0.3734,0.40842,0.41227,0.41526,0.41511,0.41898,0.42065,0.41908,0.41943,0.41976
3,3,0.1436,0.79169,0.3741,0.40998,0.41227,0.4131,0.41441,0.41564,0.41742,0.41721,0.41702,0.41742
3,6,0.1436,0.79235,0.37501,0.41076,0.41077,0.4131,0.41303,0.4143,0.41613,0.41721,0.41702,0.41801
3,12,0.1436,0.79245,0.37575,0.41154,0.41227,0.41454,0.41372,0.4163,0.41613,0.41721,0.41883,0.41742
4,1,0.127,0.80275,0.3963,0.39736,0.40254,0.40488,0.40799,0.4145,0.41415,0.41297,0.40709,0.40634
4,3,0.127,0.80343,0.39585,0.39824,0.40254,0.40732,0.41034,0.41525,0.41342,0.41085,0.40777,0.40502
4,6,0.127,0.80345,0.39532,0.39736,0.40423,0.4065,0.41269,0.41072,0.41415,0.41438,0.40846,0.40568
4,12,0.127,0.80357,0.39529,0.39648,0.40677,0.40813,0.4119,0.41374,0.41415,0.41226,0.40777,0.407
